osmid,y,x,street_count,highway,geometry
8337091013,45.4700241,-122.586934,3,,POINT (-122.586934 45.4700241)
8337091015,45.4695961,-122.5869347,1,,POINT (-122.5869347 45.4695961)
8337091016,45.4700187,-122.5879296,3,,POINT (-122.5879296 45.4700187)
8337115624,45.4704008,-122.5878675,1,,POINT (-122.5878675 45.4704008)
8337325232,45.4641632,-122.5939681,3,,POINT (-122.5939681 45.4641632)
8337325236,45.4646644,-122.5939763,1,,POINT (-122.5939763 45.4646644)
8347735102,45.4754915,-122.5913213,3,,POINT (-122.5913213 45.4754915)
8347735107,45.4758696,-122.5916937,3,,POINT (-122.5916937 45.4758696)
8347745209,45.4747686,-122.6040254,1,,POINT (-122.6040254 45.4747686)
8347745210,45.4750739,-122.6035326,3,,POINT (-122.6035326 45.4750739)
8347745211,45.4750658,-122.6039957,1,,POINT (-122.6039957 45.4750658)
8347745212,45.4758212,-122.602742,3,,POINT (-122.602742 45.4758212)
8347745216,45.4755129,-122.60224,3,,POINT (-122.60224 45.4755129)
8347782870,45.4754553,-122.5790795,3,,POINT (-122.5790795 45.4754553)
8347782879,45.4730886,-122.5893461,3,,POINT (-122.5893461 45.4730886)
8347782880,45.4730886,-122.5890495,1,,POINT (-122.5890495 45.4730886)
8347785753,45.4628026,-122.5876341,1,,POINT (-122.5876341 45.4628026)
8347785756,45.4623823,-122.5876598,3,,POINT (-122.5876598 45.4623823)
8347786917,45.4755145,-122.602374,3,,POINT (-122.602374 45.4755145)
8347786918,45.4756772,-122.6023841,2,,POINT (-122.6023841 45.4756772)
8347786921,45.475821,-122.6024586,3,,POINT (-122.6024586 45.475821)
8347786922,45.4757432,-122.6024555,3,,POINT (-122.6024555 45.4757432)
8347786923,45.4757417,-122.602739,3,,POINT (-122.602739 45.4757417)
8348098857,45.4686589,-122.5858313,3,,POINT (-122.5858313 45.4686589)
8348098861,45.4690837,-122.5859134,1,,POINT (-122.5859134 45.4690837)
8488614038,45.4621651,-122.584431,3,,POINT (-122.584431 45.4621651)
8488614040,45.4621619,-122.5850431,1,,POINT (-122.5850431 45.4621619)
